Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
"Фасоль красная IgE, F287",780.00,17.42.A51,1 дн,📋 Прочие анализы,,A09.05.118.046,
"Арахис IgE, F13",780.00,17.43.A56,1 дн,📋 Прочие анализы,,A09.05.118.048,
"Грецкий орех IgE, F256",780.00,17.43.A58,1 дн,📋 Прочие анализы,,A09.05.118.049,
"Миндаль IgE, F20",780.00,17.43.A59,1 дн,📋 Прочие анализы,,A09.05.118.051,
"Кешью IgE, F202",780.00,17.43.A60,1 дн,📋 Прочие анализы,,A09.05.118.050,
"Фисташки IgE, F203",780.00,17.43.A62,1 дн,📋 Прочие анализы,,A09.05.118.052,
"Фундук IgE, F17",780.00,17.43.A63,1 дн,📋 Прочие анализы,,A09.05.118.053,
"Свинина IgE, F26",1045.00,17.44.A29,1 дн,📋 Прочие анализы,,A09.05.118.058,
"Говядина IgE, F27",780.00,17.44.A30,1 дн,📋 Прочие анализы,,A09.05.118.055,
"Баранина IgE, F88",780.00,17.44.A31,1 дн,📋 Прочие анализы,,A09.05.118.054,
"Индейка IgE, F284",1015.00,17.44.A32,1 дн,📋 Прочие анализы,,A09.05.118.056,
"Куриное мясо IgE, F83",1010.00,17.44.A33,1 дн,📋 Прочие анализы,,A09.05.118.057,
"Бета-лактоглобулин IgE, F77",780.00,17.45.A10,1 дн,📋 Прочие анализы,,A09.05.118.060,
"Казеин IgE, F78",780.00,17.45.A11,1 дн,📋 Прочие анализы,,A09.05.118.061,
"Сыр типа ""Чеддер"" IgE, F81",780.00,17.45.A12,1 дн,📋 Прочие анализы,,A09.05.118.067,
"Сыр типа ""Моулд"" IgE, F82",780.00,17.45.A13,1 дн,📋 Прочие анализы,,A09.05.118.066,
"Козье молоко IgE, F219",935.00,17.45.A14,7 дн,📋 Прочие анализы,,A09.05.118.064,
"Молоко коровье IgE, F2",780.00,17.45.A6,1 дн,📋 Прочие анализы,,A09.05.118.063,
"Молоко кипяченое IgE, F231",1015.00,17.45.A7,1 дн,📋 Прочие анализы,,A09.05.118.062,
"Сыворотка молочная IgE, F236",980.00,17.45.A8,1 дн,📋 Прочие анализы,,A09.05.118.065,
"Альфа-лактоальбумин IgE, F76",780.00,17.45.A9,1 дн,📋 Прочие анализы,,A09.05.118.059,
"Камбала IgE, F254",780.00,17.46.A14,1 дн,📋 Прочие анализы,,A09.05.118.069,
"Лосось IgE, F41",1010.00,17.46.A15,1 дн,📋 Прочие анализы,,A09.05.118.073,
"Сардина IgE, F61",780.00,17.46.A16,1 дн,📋 Прочие анализы,,A09.05.118.075,
"Скумбрия IgE, F50",1045.00,17.46.A17,1 дн,📋 Прочие анализы,,A09.05.118.076,
"Треска IgE, F3",780.00,17.46.A18,1 дн,📋 Прочие анализы,,A09.05.118.077,
"Тунец IgE, F40",780.00,17.46.A19,1 дн,📋 Прочие анализы,,A09.05.118.078,
"Форель IgE, F204",1045.00,17.46.A20,1 дн,📋 Прочие анализы,,A09.05.118.080,
"Краб IgE, F23",780.00,17.46.A21,1 дн,📋 Прочие анализы,,A09.05.118.070,
"Креветки IgE, F24",780.00,17.46.A22,1 дн,📋 Прочие анализы,,A09.05.118.071,
"Лобстер (омар) IgE, F80",780.00,17.46.A23,1 дн,📋 Прочие анализы,,A09.05.118.072,
"Мидия IgE, F37",780.00,17.46.A24,1 дн,📋 Прочие анализы,,A09.05.118.074,
"Гребешок IgE, F338",780.00,17.46.A25,1 дн,📋 Прочие анализы,,A09.05.118.068,
"Устрицы IgE, F290",780.00,17.46.A27,1 дн,📋 Прочие анализы,,A09.05.118.079,
"Финики IgE, F289",780.00,17.47.A123,1 дн,📋 Прочие анализы,,A09.05.118.023,
"Масло подсолнечное IgE, K84",1045.00,17.47.A127,1 дн,📋 Прочие анализы,,A09.05.118.092,
"Грибы (шампиньоны) IgE, F212",780.00,17.47.A34,1 дн,📋 Прочие анализы,,A09.05.118.083,
"Кунжут IgE, F10",780.00,17.47.A45,1 дн,📋 Прочие анализы,,A09.05.118.090,
"Кофе IgE, F221",1955.00,17.47.A53,1 дн,📋 Прочие анализы,,A09.05.118.089,
"Какао IgE, F93",1045.00,17.47.A54,1 дн,📋 Прочие анализы,,A09.05.118.087,
"Шоколад IgE, F105",780.00,17.47.A55,1 дн,📋 Прочие анализы,,A09.05.118.096,
"Дрожжи пекарские IgE, F45",1045.00,17.47.A64,1 дн,📋 Прочие анализы,,A09.05.118.084,
"Дрожжи пивные IgE, F403",1045.00,17.47.A65,1 дн,📋 Прочие анализы,,A09.05.118.085,
"Солод IgE, F90",780.00,17.47.A66,1 дн,📋 Прочие анализы,,A09.05.118.095,
"Чеснок IgE, F47",780.00,17.47.A83,1 дн,📋 Прочие анализы,,A09.05.118.097,
"Ваниль IgE, F234",780.00,17.47.A86,1 дн,📋 Прочие анализы,,A09.05.118.081,
"Горчица IgE, F89",780.00,17.47.A87,1 дн,📋 Прочие анализы,,A09.05.118.082,
"Имбирь IgE, F270",780.00,17.47.A89,1 дн,📋 Прочие анализы,,A09.05.118.086,
"Карри (приправа) IgE, F281",780.00,17.47.A90,1 дн,📋 Прочие анализы,,A09.05.118.088,
"Лавровый лист IgE, F278",780.00,17.47.A91,1 дн,📋 Прочие анализы,,A09.05.118.091,
"Мята IgE, F405",1015.00,17.47.A94,1 дн,📋 Прочие анализы,,A09.05.118.093,
"Перец черный IgE, F280",780.00,17.47.A97,1 дн,📋 Прочие анализы,,A09.05.118.094,
"Яйцо куриное IgE, F245",780.00,17.48.A1,1 дн,📋 Прочие анализы,,A09.05.118.098,
"Желток яичный IgE, F75",780.00,17.48.A2,1 дн,📋 Прочие анализы,,A09.05.118.100,
"Белок яичный IgE, F1",780.00,17.48.A3,1 дн,📋 Прочие анализы,,A09.05.118.099,
"Овальбумин IgE, F232",1045.00,17.48.A4,1 дн,📋 Прочие анализы,,A09.05.118.101,
"Овомукоид IgE, F233",1045.00,17.48.A5,1 дн,📋 Прочие анализы,,A09.05.118.102,
"Клейковина (глютеин) IgE, F79",780.00,17.49.A35,1 дн,📋 Прочие анализы,,A09.05.118.103,
"Мука гречневая IgE, F11",1025.00,17.49.A36,1 дн,📋 Прочие анализы,,A09.05.118.104,
"Мука кукурузная IgE, F8",780.00,17.49.A37,1 дн,📋 Прочие анализы,,A09.05.118.105,
"Мука овсяная IgE, F7",1675.00,17.49.A38,1 дн,📋 Прочие анализы,,A09.05.118.106,
"Мука пшеничная IgE, F4",780.00,17.49.A39,1 дн,📋 Прочие анализы,,A09.05.118.107,
"Мука ржаная IgE, F5",980.00,17.49.A40,1 дн,📋 Прочие анализы,,A09.05.118.108,
"Мука ячменная IgE, F6",780.00,17.49.A41,1 дн,📋 Прочие анализы,,A09.05.118.109,
"Просо IgE, F55",780.00,17.49.A42,1 дн,📋 Прочие анализы,,A09.05.118.110,
"Рис IgE, F9",780.00,17.49.A43,1 дн,📋 Прочие анализы,,A09.05.118.111,
"Ежа сборная (Dactylis glomerata) IgE, G3",780.00,17.4.A1,1 дн,📋 Прочие анализы,,A09.05.118.157,
"Мятлик луговой (Poa pratensis) IgE, G8",1610.00,17.4.A10,1 дн,📋 Прочие анализы,,A09.05.118.165,
"Овес культивированный (Avena sativa) IgE, G14",780.00,17.4.A11,1 дн,📋 Прочие анализы,,A09.05.118.166,
"Овсянница луговая (Festuca elatior) IgE, G4",1045.00,17.4.A12,1 дн,📋 Прочие анализы,,A09.05.118.167,
"Полевица (Agrostis alba) IgE, G9",780.00,17.4.A13,1 дн,📋 Прочие анализы,,A09.05.118.170,
"Пшеница (Triticum sativum) IgE, G15",1045.00,17.4.A14,1 дн,📋 Прочие анализы,,A09.05.118.174,
"Рожь культивированная (Secale cereale) IgE, G12",780.00,17.4.A15,1 дн,📋 Прочие анализы,,A09.05.118.175,
"Плевел многолетний (Lolium perenne) IgE, G5",780.00,17.4.A16,1 дн,📋 Прочие анализы,,A09.05.118.176,
"Тимофеевка (Phleum pratense) IgE, G6",780.00,17.4.A18,1 дн,📋 Прочие анализы,,A09.05.118.179,
"Бухарник шерстистый (Holcus lanatus) IgE, G13",780.00,17.4.A2,1 дн,📋 Прочие анализы,,A09.05.118.156,
"Подсолнечник IgE, W29",1695.00,17.4.A20,7 дн,📋 Прочие анализы,,A09.05.118.181,
"Амброзия обыкновенная (Ambrosia elatior) IgE, W1",780.00,17.4.A25,5-10 дн,📋 Прочие анализы,,A09.05.118.154,
"Крапива двудомная (Urtica dioica) IgE, W20",1045.00,17.4.A26,5-10 дн,📋 Прочие анализы,,A09.05.118.160,
"Амброзия,смесь (обыкновенная/высокая,голометельчатая,трехраздельная) IgE, W209",780.00,17.4.A27,1 дн,📋 Прочие анализы,,A09.05.118.155,
"Лебеда сереющая (Atriplex canescens) IgE, W75",780.00,17.4.A28,1 дн,📋 Прочие анализы,,A09.05.118.161,
"Марь белая (Chenofodium album) IgE, W10",1045.00,17.4.A29,1 дн,📋 Прочие анализы,,A09.05.118.164,
"Фикус IgE, K81",780.00,17.4.A30,1 дн,📋 Прочие анализы,,A09.05.118.180,
"Одуванчик (Taraxacum officinale) IgE, W8",1010.00,17.4.A31,1 дн,📋 Прочие анализы,,A09.05.118.168,
"Подорожник (Plantago lanceolata) IgE, W9",780.00,17.4.A32,1 дн,📋 Прочие анализы,,A09.05.118.169,
"Полынь горькая (Artemisia absinthum) IgE, W5",780.00,17.4.A33,1 дн,📋 Прочие анализы,,A09.05.118.171,
"Полынь обыкновенная (Artemisia vulgaris) IgE, W6",780.00,17.4.A34,1 дн,📋 Прочие анализы,,A09.05.118.172,
"Постенница лекарственная (P. officinalis) IgE, W19",780.00,17.4.A35,1 дн,📋 Прочие анализы,,A09.05.118.173,
"Ромашка (нивяник) (Ch. leucanthenum) IgE, W7",1015.00,17.4.A36,1 дн,📋 Прочие анализы,,A09.05.118.177,
"Лебеда чечевицеобразная (A. lentiformis) IgE, W15",1045.00,17.4.A37,1 дн,📋 Прочие анализы,,A09.05.118.162,
"Колосок душистый (Anthoxantum odoratum) IgE, G1",1015.00,17.4.A6,1 дн,📋 Прочие анализы,,A09.05.118.158,
"Кострец безостый  (Bromus inermis)  IgE, G11",780.00,17.4.A7,1 дн,📋 Прочие анализы,,A09.05.118.159,
"Рыльца кукурузные (Zea mays) IgE, G202",780.00,17.4.A8,1 дн,📋 Прочие анализы,,A09.05.118.178,
"Лисохвост луговой (Alopecurus pratensis) IgE, G16",3730.00,17.4.A9,1 дн,📋 Прочие анализы,,A09.05.118.163,
"Абрикос IgG, F237",1015.00,17.50.A102,1 дн,📋 Прочие анализы,,A09.05.118.227,
"Авокадо IgG, F96",780.00,17.50.A103,1 дн,📋 Прочие анализы,,A09.05.118.228,
"Ананас IgG, F210",780.00,17.50.A104,1 дн,📋 Прочие анализы,,A09.05.118.229,
"Апельсин IgG, F33",780.00,17.50.A105,1 дн,📋 Прочие анализы,,A09.05.118.230,
"Банан IgG, F92",980.00,17.50.A106,1 дн,📋 Прочие анализы,,A09.05.118.231,
"Виноград IgG, F259",1015.00,17.50.A107,1 дн,📋 Прочие анализы,,A09.05.118.232,
"Вишня IgG, F242",780.00,17.50.A108,1 дн,📋 Прочие анализы,,A09.05.118.233,
"Грейпфрут IgG, F209",780.00,17.50.A109,1 дн,📋 Прочие анализы,,A09.05.118.234,
"Груша IgG, F94",1045.00,17.50.A110,1 дн,📋 Прочие анализы,,A09.05.118.235,
"Дыня IgG, F87",780.00,17.50.A111,1 дн,📋 Прочие анализы,,A09.05.118.236,
"Инжир IgG, F402",780.00,17.50.A112,1 дн,📋 Прочие анализы,,A09.05.118.237,
"Киви IgG, F84",1045.00,17.50.A113,1 дн,📋 Прочие анализы,,A09.05.118.238,
"Клубника IgG, F44",1025.00,17.50.A114,1 дн,📋 Прочие анализы,,A09.05.118.239,
"Кокос IgG, F36",780.00,17.50.A115,1 дн,📋 Прочие анализы,,A09.05.118.240,
"Лимон IgG, F208",780.00,17.50.A116,1 дн,📋 Прочие анализы,,A09.05.118.241,
"Манго IgG, F91",780.00,17.50.A118,1 дн,📋 Прочие анализы,,A09.05.118.242,
"Персик IgG, F95",1045.00,17.50.A121,1 дн,📋 Прочие анализы,,A09.05.118.243,
"Слива IgG, F255",780.00,17.50.A122,1 дн,📋 Прочие анализы,,A09.05.118.244,
"Хурма IgG, F301",780.00,17.50.A124,1 дн,📋 Прочие анализы,,A09.05.118.245,
"Яблоко IgG, F49",780.00,17.50.A125,1 дн,📋 Прочие анализы,,A09.05.118.246,
"Ягоды (черника, голубика, брусника) IgG, F288",780.00,17.50.A126,1 дн,📋 Прочие анализы,,A09.05.118.247,
"Баклажан IgG, F262",780.00,17.51.A68,1 дн,📋 Прочие анализы,,A09.05.118.249,
"Капуста брокколи IgG, F260",780.00,17.51.A69,1 дн,📋 Прочие анализы,,A09.05.118.250,
"Капуста брюссельская IgG, F217",780.00,17.51.A70,1 дн,📋 Прочие анализы,,A09.05.118.251,
"Капуста кочанная IgG, F216",1045.00,17.51.A71,1 дн,📋 Прочие анализы,,A09.05.118.252,
"Капуста цветная IgG, F291",780.00,17.51.A72,1 дн,📋 Прочие анализы,,A09.05.118.253,
"Картофель IgG, F35",780.00,17.51.A73,1 дн,📋 Прочие анализы,,A09.05.118.254,
"Морковь IgG, F31",780.00,17.51.A74,1 дн,📋 Прочие анализы,,A09.05.118.256,
"Тыква IgG, F225",780.00,17.51.A75,1 дн,📋 Прочие анализы,,A09.05.118.264,
"Томат IgG,F25",780.00,17.51.A76,1 дн,📋 Прочие анализы,,A09.05.118.263,
"Огурец IgG, F244",1015.00,17.51.A77,1 дн,📋 Прочие анализы,,A09.05.118.257,
"Спаржа IgG, F261",1015.00,17.51.A78,1 дн,📋 Прочие анализы,,A09.05.118.262,
"Петрушка IgG, F86",1015.00,17.51.A79,1 дн,📋 Прочие анализы,,A09.05.118.260,
"Сельдерей IgG, F85",1015.00,17.51.A81,1 дн,📋 Прочие анализы,,A09.05.118.261,
"Шпинат IgG, F214",780.00,17.51.A82,1 дн,📋 Прочие анализы,,A09.05.118.265,
"Чеснок IgG, F47",780.00,17.51.A83,1 дн,📋 Прочие анализы,,A09.05.118.320,
"Лук IgG, F48",780.00,17.51.A84,1 дн,📋 Прочие анализы,,A09.05.118.255,
"Перец красный (паприка) IgG, 218",780.00,17.51.A95,1 дн,📋 Прочие анализы,,A09.05.118.259,
"Перец зеленый IgG, F263",780.00,17.51.A96,1 дн,📋 Прочие анализы,,A09.05.118.258,
"Чечевица IgG, F235",780.00,17.52.A44,1 дн,📋 Прочие анализы,,A09.05.118.272,
"Бобы соевые IgG, F14",780.00,17.52.A46,1 дн,📋 Прочие анализы,,A09.05.118.266,
"Горошек зеленый IgG, F12",1015.00,17.52.A47,1 дн,📋 Прочие анализы,,A09.05.118.267,
"Нут (турецкий горох) IgG, F309",780.00,17.52.A48,1 дн,📋 Прочие анализы,,A09.05.118.268,
"Фасоль белая IgG, F15",780.00,17.52.A49,1 дн,📋 Прочие анализы,,A09.05.118.269,
"Фасоль зеленая IgG, F315",780.00,17.52.A50,1 дн,📋 Прочие анализы,,A09.05.118.270,
"Фасоль красная IgG, F287",780.00,17.52.A51,1 дн,📋 Прочие анализы,,A09.05.118.271,
"Арахис IgG, F13",780.00,17.53.A56,1 дн,📋 Прочие анализы,,A09.05.118.273,
"Грецкий орех IgG, F256",780.00,17.53.A58,1 дн,📋 Прочие анализы,,A09.05.118.274,
"Миндаль IgG, F20",780.00,17.53.A59,1 дн,📋 Прочие анализы,,A09.05.118.276,
"Кешью IgG, F202",780.00,17.53.A60,1 дн,📋 Прочие анализы,,A09.05.118.275,
"Фисташки IgG, F203",780.00,17.53.A62,1 дн,📋 Прочие анализы,,A09.05.118.277,
"Фундук IgG, F17",780.00,17.53.A63,1 дн,📋 Прочие анализы,,A09.05.118.278,
"Свинина IgG, F26",1045.00,17.54.A29,1 дн,📋 Прочие анализы,,A09.05.118.283,
"Говядина IgG, F27",780.00,17.54.A30,1 дн,📋 Прочие анализы,,A09.05.118.280,
"Баранина IgG, F88",780.00,17.54.A31,1 дн,📋 Прочие анализы,,A09.05.118.279,
"Индейка IgG, F 284",1015.00,17.54.A32,1 дн,📋 Прочие анализы,,A09.05.118.281,
"Куриное мясо IgG, F83",1010.00,17.54.A33,1 дн,📋 Прочие анализы,,A09.05.118.282,
"Бета-лактоглобулин IgG, F77",780.00,17.55.A10,1 дн,📋 Прочие анализы,,A09.05.118.285,
"Казеин IgG, F78",780.00,17.55.A11,1 дн,📋 Прочие анализы,,A09.05.118.286,
"Сыр типа ""Чеддер"" IgG, F81",780.00,17.55.A12,1 дн,📋 Прочие анализы,,A09.05.118.291,
"Сыр типа ""Моулд"" IgG, F82",780.00,17.55.A13,1 дн,📋 Прочие анализы,,A09.05.118.290,
"Молоко коровье IgG, F2",780.00,17.55.A6,1 дн,📋 Прочие анализы,,A09.05.118.288,
"Молоко кипяченое IgG, F231",1015.00,17.55.A7,1 дн,📋 Прочие анализы,,A09.05.118.287,
"Сыворотка молочная IgG, F236",980.00,17.55.A8,1 дн,📋 Прочие анализы,,A09.05.118.289,
"Альфа-лактоальбумин IgG, F76",780.00,17.55.A9,1 дн,📋 Прочие анализы,,A09.05.118.284,
"Камбала IgG, F254",780.00,17.56.A14,1 дн,📋 Прочие анализы,,A09.05.118.293,
"Лосось IgG, F41",1010.00,17.56.A15,1 дн,📋 Прочие анализы,,A09.05.118.297,
"Сардина IgG, F61",780.00,17.56.A16,1 дн,📋 Прочие анализы,,A09.05.118.299,
"Скумбрия IgG, F50",1045.00,17.56.A17,1 дн,📋 Прочие анализы,,A09.05.118.300,
"Треска IgG, F3",780.00,17.56.A18,1 дн,📋 Прочие анализы,,A09.05.118.301,
"Тунец IgG, F40",780.00,17.56.A19,1 дн,📋 Прочие анализы,,A09.05.118.302,
"Форель IgG, F204",1045.00,17.56.A20,1 дн,📋 Прочие анализы,,A09.05.118.304,
"Краб IgG, F23",780.00,17.56.A21,1 дн,📋 Прочие анализы,,A09.05.118.294,
"Креветки IgG, F24",780.00,17.56.A22,1 дн,📋 Прочие анализы,,A09.05.118.295,
"Лобстер (омар) IgG, F80",780.00,17.56.A23,1 дн,📋 Прочие анализы,,A09.05.118.296,
"Мидия IgG, F37",780.00,17.56.A24,1 дн,📋 Прочие анализы,,A09.05.118.298,
"Гребешок IgG, F338",780.00,17.56.A25,1 дн,📋 Прочие анализы,,A09.05.118.292,
"Устрицы IgG, F290",780.00,17.56.A27,1 дн,📋 Прочие анализы,,A09.05.118.303,
"Финики IgG, F289",780.00,17.57.A123,1 дн,📋 Прочие анализы,,A09.05.118.248,
"Масло подсолнечное IgG, K84",1045.00,17.57.A127,1 дн,📋 Прочие анализы,,A09.05.118.316,
"Грибы (шампиньоны) IgG, F212",780.00,17.57.A34,1 дн,📋 Прочие анализы,,A09.05.118.307,
"Кунжут IgG, F10",780.00,17.57.A45,1 дн,📋 Прочие анализы,,A09.05.118.314,
"Кофе IgG, F221",1045.00,17.57.A53,1 дн,📋 Прочие анализы,,A09.05.118.313,
"Какао IgG, F93",1045.00,17.57.A54,1 дн,📋 Прочие анализы,,A09.05.118.311,
"Шоколад IgG, F105",780.00,17.57.A55,1 дн,📋 Прочие анализы,,A09.05.118.321,
"Дрожжи пекарские IgG, F45",1045.00,17.57.A64,1 дн,📋 Прочие анализы,,A09.05.118.308,
"Дрожжи пивные IgG, F403",1045.00,17.57.A65,1 дн,📋 Прочие анализы,,A09.05.118.309,
"Солод IgG, F90",780.00,17.57.A66,1 дн,📋 Прочие анализы,,A09.05.118.319,
"Ваниль IgG, F234",780.00,17.57.A86,1 дн,📋 Прочие анализы,,A09.05.118.305,
"Горчица IgG, F89",780.00,17.57.A87,1 дн,📋 Прочие анализы,,A09.05.118.306,
"Имбирь IgG, F270",780.00,17.57.A89,1 дн,📋 Прочие анализы,,A09.05.118.310,
"Карри (приправа) IgG, F281",780.00,17.57.A90,1 дн,📋 Прочие анализы,,A09.05.118.312,
"Лавровый лист IgG, F278",780.00,17.57.A91,1 дн,📋 Прочие анализы,,A09.05.118.315,
"Мята IgG, F405",1015.00,17.57.A94,1 дн,📋 Прочие анализы,,A09.05.118.317,
"Перец черный IgG, F280",780.00,17.57.A97,1 дн,📋 Прочие анализы,,A09.05.118.318,
"Яйцо куриное IgG, F245",780.00,17.58.A1,1 дн,📋 Прочие анализы,,A09.05.118.322,
"Желток яичный IgG, F75",780.00,17.58.A2,1 дн,📋 Прочие анализы,,A09.05.118.324,
"Белок яичный IgG, F1",780.00,17.58.A3,1 дн,📋 Прочие анализы,,A09.05.118.323,
"Овальбумин IgG, F232",1045.00,17.58.A4,1 дн,📋 Прочие анализы,,A09.05.118.325,
"Овомукоид IgG, F233",1045.00,17.58.A5,1 дн,📋 Прочие анализы,,A09.05.118.326,
"Клейковина (глютен) IgG, F79",780.00,17.59.A35,1 дн,📋 Прочие анализы,,A09.05.118.327,
"Мука гречневая IgG, F11",1025.00,17.59.A36,1 дн,📋 Прочие анализы,,A09.05.118.328,
"Мука кукурузная IgG, F8",780.00,17.59.A37,1 дн,📋 Прочие анализы,,A09.05.118.329,
"Мука овсяная IgG, F7",1045.00,17.59.A38,1 дн,📋 Прочие анализы,,A09.05.118.330,
"Мука пшеничная IgG, F4",780.00,17.59.A39,1 дн,📋 Прочие анализы,,A09.05.118.331,
"Мука ржаная IgG, F5",980.00,17.59.A40,1 дн,📋 Прочие анализы,,A09.05.118.332,
"Мука ячменная IgG, F6",780.00,17.59.A41,1 дн,📋 Прочие анализы,,A09.05.118.333,
"Просо IgG, F55",780.00,17.59.A42,1 дн,📋 Прочие анализы,,A09.05.118.334,
"Рис IgG, F9",780.00,17.59.A43,1 дн,📋 Прочие анализы,,A09.05.118.335,
"Апельсин IgE (ImmunoCAP), f33",1035.00,17.60.A136,9 дн,📋 Прочие анализы,,A09.05.118.336,
"Клубника IgE (ImmunoCAP), f44",1035.00,17.60.A143,9 дн,📋 Прочие анализы,,A09.05.118.350,
"Лимон IgE (ImmunoCAP), f208",1035.00,17.60.A146,9 дн,📋 Прочие анализы,,A09.05.118.338,
"Яблоко IgE (ImmunoCAP), f49",1035.00,17.60.A160,9 дн,📋 Прочие анализы,,A09.05.118.339,
"Абрикос IgE (ImmunoCAP), f237",1035.00,17.60.A161,9 дн,📋 Прочие анализы,,A09.05.118.343,
"Авокадо IgE (ImmunoCAP), f96",1035.00,17.60.A162,9 дн,📋 Прочие анализы,,A09.05.118.347,
"Ананас IgE (ImmunoCAP), f210",1035.00,17.60.A163,9 дн,📋 Прочие анализы,,A09.05.118.346,
"Арбуз IgE (ImmunoCAP), f329",1035.00,17.60.A164,9 дн,📋 Прочие анализы,,A09.05.118.349,
"Банан IgE (ImmunoCAP), f92",1035.00,17.60.A165,9 дн,📋 Прочие анализы,,A09.05.118.342,
"Виноград IgE (ImmunoCAP), f259",1035.00,17.60.A166,9 дн,📋 Прочие анализы,,A09.05.118.344,
"Вишня IgE (ImmunoCAP), f242",1035.00,17.60.A167,9 дн,📋 Прочие анализы,,A09.05.118.351,
"Грейпфрут IgE (ImmunoCAP), f209",1035.00,17.60.A168,9 дн,📋 Прочие анализы,,A09.05.118.354,
"Груша IgE (ImmunoCAP), f94",1035.00,17.60.A169,9 дн,📋 Прочие анализы,,A09.05.118.340,
"Дыня IgE (ImmunoCAP), f87",1035.00,17.60.A170,9 дн,📋 Прочие анализы,,A09.05.118.348,
"Киви IgE (ImmunoCAP), f84",1035.00,17.60.A172,9 дн,📋 Прочие анализы,,A09.05.118.345,
"Малина IgE (ImmunoCAP), f343",1035.00,17.60.A173,9 дн,📋 Прочие анализы,,A09.05.118.353,
"Манго IgE (ImmunoCAP), f91",1035.00,17.60.A174,9 дн,📋 Прочие анализы,,A09.05.118.355,
"Мандарин IgE (ImmunoCAP), f302",1035.00,17.60.A175,9 дн,📋 Прочие анализы,,A09.05.118.337,
"Персик IgE (ImmunoCAP), f95",1035.00,17.60.A176,9 дн,📋 Прочие анализы,,A09.05.118.341,
"Смородина красная IgE (ImmunoCAP), f322",1035.00,17.60.A177,9 дн,📋 Прочие анализы,,A09.05.118.352,
"Картофель IgE (ImmunoCAP), f35",1035.00,17.61.A142,9 дн,📋 Прочие анализы,,A09.05.118.357,
"Морковь IgE (ImmunoCAP), f31",1035.00,17.61.A150,9 дн,📋 Прочие анализы,,A09.05.118.356,
"Томаты IgE (ImmunoCAP), f25",1035.00,17.61.A155,9 дн,📋 Прочие анализы,,A09.05.118.358,
"Тыква IgE (ImmunoCAP), f225",1035.00,17.61.A157,9 дн,📋 Прочие анализы,,A09.05.118.361,
"Цветная капуста IgE (ImmunoCAP), f291",1035.00,17.61.A159,9 дн,📋 Прочие анализы,,A09.05.118.369,
"Баклажан IgE (ImmunoCAP), f262",1035.00,17.61.A160,9 дн,📋 Прочие анализы,,A09.05.118.359,
"Брокколи IgE (ImmunoCAP), f260",1035.00,17.61.A161,9 дн,📋 Прочие анализы,,A09.05.118.364,
"Капуста белокочанная IgE (ImmunoCAP), f216",1035.00,17.61.A162,9 дн,📋 Прочие анализы,,A09.05.118.365,
"Лук IgE (ImmunoCAP), f48",1035.00,17.61.A163,9 дн,📋 Прочие анализы,,A09.05.118.366,
"Огурец IgE (ImmunoCAP), f244",1035.00,17.61.A164,9 дн,📋 Прочие анализы,,A09.05.118.360,
"Паприка, сладкий перец IgE (ImmunoCAP), f218",1035.00,17.61.A165,9 дн,📋 Прочие анализы,,A09.05.118.363,
"Петрушка IgE (ImmunoCAP), f86",1035.00,17.61.A166,9 дн,📋 Прочие анализы,,A09.05.118.401,
"Сахарная свекла IgE (ImmunoCAP), f227",1035.00,17.61.A167,9 дн,📋 Прочие анализы,,A09.05.118.362,
"Сельдерей IgE (ImmunoCAP), f85",1035.00,17.61.A168,9 дн,📋 Прочие анализы,,A09.05.118.367,
"Шпинат IgE (ImmunoCAP), f214",1035.00,17.61.A169,9 дн,📋 Прочие анализы,,A09.05.118.368,
"Соя IgE (ImmunoCAP), f14",1035.00,17.62.A133,9 дн,📋 Прочие анализы,,A09.05.118.370,
"Горох IgE (ImmunoCAP), f12",1035.00,17.62.A134,9 дн,📋 Прочие анализы,,A09.05.118.371,
"Фасоль белая (Белые бобы) IgE (ImmunoCAP), f15",1035.00,17.62.A135,9 дн,📋 Прочие анализы,,A09.05.118.372,
"Фисташка IgE (ImmunoCAP), f203",1035.00,17.63.A1,9 дн,📋 Прочие анализы,,A09.05.118.377,
"Арахис IgE (ImmunoCAP), f13",1035.00,17.63.A128,9 дн,📋 Прочие анализы,,A09.05.118.373,
"Грецкий орех IgE (ImmunoCAP), f256",1035.00,17.63.A129,9 дн,📋 Прочие анализы,,A09.05.118.375,
"Миндаль IgE (ImmunoCAP), f20",1035.00,17.63.A130,9 дн,📋 Прочие анализы,,A09.05.118.376,
"Фундук IgE (ImmunoCAP), f17",1035.00,17.63.A131,9 дн,📋 Прочие анализы,,A09.05.118.374,
"Кедровый орех IgE (ImmunoCAP), f253",1035.00,17.63.A132,9 дн,📋 Прочие анализы,,A09.05.118.379,
"Орех кешью IgE (ImmunoCAP), f202",1035.00,17.63.A2,9 дн,📋 Прочие анализы,,A09.05.118.378,
"Говядина IgE (ImmunoCAP), f27",1035.00,17.64.A137,9 дн,📋 Прочие анализы,,A09.05.118.385,
"Индейка, мясо IgE (ImmunoCAP), f284",1035.00,17.64.A140,9 дн,📋 Прочие анализы,,A09.05.118.384,
"Курица, мясо IgE (ImmunoCAP), f83",1035.00,17.64.A145,9 дн,📋 Прочие анализы,,A09.05.118.383,
"Свинина IgE (ImmunoCAP), f26",1035.00,17.64.A154,9 дн,📋 Прочие анализы,,A09.05.118.381,
