Название услуги,Цена,Код услуги,Длительность
"Баклажан IgE (ImmunoCAP), f262",1035.00,17.61.A160,9 дн
"Брокколи IgE (ImmunoCAP), f260",1035.00,17.61.A161,9 дн
"Капуста белокочанная IgE (ImmunoCAP), f216",1035.00,17.61.A162,9 дн
"Лук IgE (ImmunoCAP), f48",1035.00,17.61.A163,9 дн
"Огурец IgE (ImmunoCAP), f244",1035.00,17.61.A164,9 дн
"Паприка, сладкий перец IgE (ImmunoCAP), f218",1035.00,17.61.A165,9 дн
"Петрушка IgE (ImmunoCAP), f86",1035.00,17.61.A166,9 дн
"Сахарная свекла IgE (ImmunoCAP), f227",1035.00,17.61.A167,9 дн
"Сельдерей IgE (ImmunoCAP), f85",1035.00,17.61.A168,9 дн
"Шпинат IgE (ImmunoCAP), f214",1035.00,17.61.A169,9 дн
"Соя IgE (ImmunoCAP), f14",1035.00,17.62.A133,9 дн
"Горох IgE (ImmunoCAP), f12",1035.00,17.62.A134,9 дн
"Фасоль белая (Белые бобы) IgE (ImmunoCAP), f15",1035.00,17.62.A135,9 дн
"Фисташка IgE (ImmunoCAP), f203",1035.00,17.63.A1,9 дн
"Арахис IgE (ImmunoCAP), f13",1035.00,17.63.A128,9 дн
"Грецкий орех IgE (ImmunoCAP), f256",1035.00,17.63.A129,9 дн
"Миндаль IgE (ImmunoCAP), f20",1035.00,17.63.A130,9 дн
"Фундук IgE (ImmunoCAP), f17",1035.00,17.63.A131,9 дн
"Кедровый орех IgE (ImmunoCAP), f253",1035.00,17.63.A132,9 дн
"Орех кешью IgE (ImmunoCAP), f202",1035.00,17.63.A2,9 дн
"Говядина IgE (ImmunoCAP), f27",1035.00,17.64.A137,9 дн
"Индейка, мясо IgE (ImmunoCAP), f284",1035.00,17.64.A140,9 дн
"Курица, мясо IgE (ImmunoCAP), f83",1035.00,17.64.A145,9 дн
"Свинина IgE (ImmunoCAP), f26",1035.00,17.64.A154,9 дн
"Баранина IgE (ImmunoCAP), f88",1035.00,17.64.A155,9 дн
"Мясо кролика IgE (ImmunoCAP), f213",1035.00,17.64.A156,9 дн
"Галактоза-альфа-1,3-галактоза (α-Gal), аллергокомпонент IgE (ImmunoCAP), O215",2525.00,17.64.D138,9 дн
"Козье молоко IgE (ImmunoCAP), f300",1035.00,17.65.A130,9 дн
"Молоко IgE (ImmunoCAP), f2",1035.00,17.65.A131,9 дн
"Молоко кипяченое IgE (ImmunoCAP), f231",1035.00,17.65.A149,9 дн
"Сыр с плесенью IgE (ImmunoCAP), f82",1035.00,17.65.A150,9 дн
"Сыр Чеддер IgE (ImmunoCAP), f81",1035.00,17.65.A151,9 дн
"Креветка IgE (ImmunoCAP), f24",1035.00,17.66.A1,9 дн
"Лосось IgE (ImmunoCAP), f41",1035.00,17.66.A147,9 дн
"Треска IgE (ImmunoCAP), f3",1035.00,17.66.A156,9 дн
"Форель IgE (ImmunoCAP), f204",1035.00,17.66.A158,9 дн
"Кальмар IgE (ImmunoCAP), f258",1035.00,17.66.A159,9 дн
"Краб IgE (ImmunoCAP), f23",1035.00,17.66.A160,9 дн
"Синяя мидия IgE (ImmunoCAP), f37",1035.00,17.66.A161,9 дн
"Тунец IgE (ImmunoCAP), f40",1035.00,17.66.A162,9 дн
"Моллюск IgE (ImmunoCAP), f207",1035.00,17.66.A164,9 дн
"Семена подсолнечника IgE (ImmunoCAP), k84",1035.00,17.67.A1,9 дн
"Дрожжи пекарские IgE (ImmunoCAP), f45",1035.00,17.67.A139,9 дн
"Какао IgE (ImmunoCAP), f93",1035.00,17.67.A141,9 дн
"Кофе, зерна IgE (ImmunoCAP), f221",1035.00,17.67.A144,9 дн
"Ваниль IgE (ImmunoCAP), f234",1035.00,17.67.A149,9 дн
"Грибы (шампиньоны) IgE (ImmunoCAP), f212",1035.00,17.67.A150,9 дн
"Кунжут IgE (ImmunoCAP), f10",1035.00,17.67.A151,9 дн
"Семена мака IgE (ImmunoCAP), f224",1035.00,17.67.A152,9 дн
"Чай IgE (ImmunoCAP), f222",1035.00,17.67.A153,9 дн
"Чеснок IgE (ImmunoCAP), f47",1035.00,17.67.A154,9 дн
"Желатин коровий (пищевая добавка Е441) IgE (ImmunoCAP), c74",1035.00,17.67.A155,9 дн
"Укроп IgE (ImmunoCAP), f277",1035.00,17.67.A156,9 дн
"Амброзия ложная (Franseria acanthicarpa) IgE (ImmunoCAP), w4.",1035.00,17.67.A157,9 дн
"Амброзия голометельчатая (Ambrosia psilostachya) IgE (ImmunoCAP), w2.",1035.00,17.67.A158,9 дн
Кональбумин яйца nGal d3,2525.00,17.68.A1,9 дн
"Яичный белок IgE (ImmunoCAP), f1",1035.00,17.68.A134,9 дн
"Яичный желток IgE (ImmunoCAP), f75",1035.00,17.68.A161,9 дн
"Яйцо IgE (ImmunoCAP), f245",1035.00,17.68.A162,9 дн
"Подсолнечник IgE (ImmunoCAP), w204",1035.00,17.69.A1,9 дн
"Глютен (клейковина) IgE (ImmunoCAP), f79",1035.00,17.69.A129,9 дн
"Пшеница IgE (ImmunoCAP), f4",1035.00,17.69.A135,9 дн
"Гречиха, гречичная мука IgE (ImmunoCAP), f11",1035.00,17.69.A138,9 дн
"Овес, овсяная мука IgE (ImmunoCAP), f7",1035.00,17.69.A151,9 дн
"Рис IgE (ImmunoCAP), f9",1035.00,17.69.A152,9 дн
"Рожь IgE (ImmunoCAP), ржаная мука, f5",1035.00,17.69.A153,9 дн
"Кукуруза IgE (ImmunoCAP), f8",1035.00,17.69.A154,9 дн
"Просо посевное (пшено) IgE (ImmunoCAP), f55",1035.00,17.69.A155,9 дн
"Ячмень IgE (ImmunoCAP), f6",1035.00,17.69.A156,9 дн
"Тропомиозин клещей домашней пыли, аллергокомпонент IgE (ImmunoCAP), d205 rDer p10",2525.00,17.70.A1,9 дн
"Клещ домашней пыли D. pteronyssinus IgE (ImmunoCAP), d1",1035.00,17.70.A2,9 дн
"Клещ домашней пыли D.farinae IgE (ImmunoCAP), d2",1035.00,17.70.A5,9 дн
"Alternaria alternata, аллергокомпонент IgE (ImmunoCAP), m229 rAlt a1",2525.00,17.71.A1,9 дн
"Плесневый гриб (Alternaria alternata) IgE (ImmunoCAP), m6",1035.00,17.71.A2,9 дн
"Плесневый гриб (Aspergillus fumigatus) IgE (ImmunoCAP), m3",1035.00,17.71.A3,9 дн
"Плесневый гриб (Candida albicans) IgE (ImmunoCAP), m5",1035.00,17.71.A4,9 дн
"Стафилококковый энтеротоксин B IgE (ImmunoCAP), m81",1035.00,17.71.A5,9 дн
"Стафилококковый энтеротоксин А IgE (ImmunoCAP), m80",1035.00,17.71.A6,9 дн
"Латекс, аллергокомпонент IgE (ImmunoCAP), k220 rHev b6.02",2525.00,17.72.A10,9 дн
"Формальдегид (формалин) IgE (ImmunoCAP), k80",1035.00,17.73.A1,9 дн
"Латекс IgE (ImmunoCAP), k82",1035.00,17.73.A2,9 дн
"Пенициллин G IgE (ImmunoCAP), с1",1035.00,17.74.A13,9 дн
"Пенициллин V IgE (ImmunoCAP), c2",1035.00,17.74.A14,9 дн
"Хлоргексидин IgE (ImmunoCAP), c8",1035.00,17.74.A18,9 дн
"Береза, аллергокомпонент Bet v1, IgE",1580.00,17.75.A1,9 дн
"Полынь, аллергокомпонент Art v1, IgE",1580.00,17.75.A10,7 дн
"Тимофеевка луговая, аллергокомпонент Phl p1, Phl p5, IgE",1580.00,17.75.A11,7 дн
"Тимофеевка луговая, аллергокомпонент Phl p7, Phl p12, IgE",1580.00,17.75.A12,
"Береза, аллергокомпонент Bet v4, IgE",1580.00,17.75.A2,9 дн
"Кошка, аллергокомпонент Fer d1, IgE",1580.00,17.75.A20,7 дн
"Анизакида IgE (ImmunoCAP), p4",1035.00,17.76.A1,9 дн
"Аскарида IgE (ImmunoCAP), p1",1035.00,17.76.A2,9 дн
"Амброзия, аллергокомпонент IgG4 (ImmunoCAP), w230 nAmb a1",3030.00,17.78.A1,9 дн
"Полынь, аллергокомпонент IgG4 (ImmunoCAP), w231 nArt v1",3030.00,17.78.A2,9 дн
"Клещ домашней пыли, аллергокомпонент IgG4 (ImmunoCAP), d202 rDer p1 (Заключение врача КЛД по исследовательскому отчету)",3030.00,17.78.A3,9 дн
"Клещ домашней пыли, аллергокомпонент IgG4 (ImmunoCAP), d203 rDer p2 (Заключение врача КЛД по исследовательскому отчету)",3030.00,17.78.A4,9 дн
"Тимофеевка луговая, аллергокомпонент IgG4 (ImmunoCAP), g205 rPhl p1",3030.00,17.78.A5,9 дн
"Тимофеевка луговая, аллергокомпонент IgG4 (ImmunoCAP), g215 rPhl p5b",3030.00,17.78.A6,9 дн
"Береза, аллергокомпонент IgG4 (ImmunoCAP), t215 rBet v1 PR-10",3030.00,17.78.A7,9 дн
"Домашняя пыль тип (Greer) IgE, h1",780.00,17.7.A1,1 дн
"Пыль пшеничной муки IgE, K301",780.00,17.7.A6,1 дн
"Домашняя пыль (Holister) IgE, h2",780.00,17.7.A7,7 дн
"Яд осы обыкновенной, аллергокомпонент IgE (ImmunoCAP), i209 rVes v5",2525.00,17.86.A1,9 дн
"Фосфолипаза А2 пчелы медоносной, аллергокомпонент IgE (ImmunoCAP), i208 rApi m1",2525.00,17.86.A2,9 дн
"Клещ-дерматофаг мучной (D. farinae) IgE, D2",780.00,17.8.A1,1 дн
"Клещ-дерматофаг перинный (D.pteronyssinus) IgE, D1",780.00,17.8.A2,1 дн
"Грибы рода кандида (Candida albicans) IgE, M5",780.00,17.9.A1,1 дн
"Плесневый гриб (Chaetomium globosum) IgE, M208",780.00,17.9.A2,1 дн
"Плесневый гриб (Aspergillus fumigatus) IgE, M3",780.00,17.9.A3,1 дн
"Плесневый гриб (Alternaria tenuis) IgE, M6",780.00,17.9.A4,1 дн
"Плесневый гриб (Cladosporium herbarum) IgE, m2",830.00,17.9.A5,7 дн
"Плесневый гриб (Penicillum notatum) IgE, m1",1115.00,17.9.A6,7 дн
"Алкоголь в моче, ГХ-ПИД",2145.00,18.1.A8.401,6 дн
"Углевод-дефицитный трансферрин (CDT), кровь",3750.00,18.1.A9.201,10 дн
"Определение алкоголя в крови, ГХ",2185.00,18.1.D1.202,6 дн
"Скрининг в моче групп наркотических (каннабиоидов, кокаина, МДМА (экстази), метадона, метамфетаминов, опиатов) и психоактивных веществ (амфетаминов, барбитуратов, бензодиазепинов, трициклических антидепрессантов), ИХГА",4060.00,18.1.D1.401,4 дн
"Высокоспецифичное выявление в волосах наркотических и психоактивных веществ с их точной идентификацией, ГХ-МС",12765.00,18.1.D2.106,8 дн
"Высокоспецифичное выявление в моче наркотических веществ, ПАВ, никотина, котинина и алкоголя, с их точной идентификацией, ГХ-МС",4365.00,18.1.D3.401,8 дн
"Бисфенол А, триклозан, 4-нонилфенол (токсины из пластмасс, гигиенических средств, моющих средств, элементов упаковки продуктов питания) в разовой порции мочи, ГХ-МС ",2945.00,18.1.D9,9 дн
"Леветирацетам, ВЭЖХ-МС",3800.00,18.2.A13.201,5 дн
"Ванкомицин, ВЭЖХ-МС",2830.00,18.2.A15.201,6 дн
Такролимус,2830.00,18.2.A19.202,4 дн
Эверолимус,2830.00,18.2.A21,6 дн
"Топирамат (топамакс, топалепсин, тореал), ГХ-МС",3800.00,18.2.A22,6 дн
"Фенобарбитал,ГХ-МС",3800.00,18.2.A2.201,8 дн
"Сиролимус, ВЭЖХ-МС",2830.00,18.2.A23,6 дн
"Финлепсин (карбамазепин, тегретол) ВЭЖХ-МС",3800.00,18.2.A3.201,5 дн
"Ламотриджины (ламиктал),  ВЭЖХ-МС",3800.00,18.2.A4.201,5 дн
"Вальпроевая кислота (и ее производные),ВЭЖХ-МС",1950.00,18.2.A6.201,1 дн
BCR-ABL p210 t(9;22) кол. (b2a2/b3a2 суммарно),3788.00,20.0.A1,11 дн
Определение мутации W515 в гене MPL,5705.00,20.0.A2,11 дн
"BCR-ABLp230 t(9;22), кол.",7894.00,20.0.A3,11 дн
"20.0.D1 BCR-ABLp210 t(9;22), кач. (b2a2/b3a2 суммарно)",3157.00,20.0.D1,11 дн
"Определение мутаций 9 экзона гена CALR (del52, insTTGTC)",5705.00,20.0.D2,11 дн
"Определение мутаций (V617F в 14 экзоне гена Jak-2 киназа, W515 в гене MPL, 9 экзона гена CALR) при миелопролиферативных заболеваниях (МПЗ)",12070.00,20.0.D3,11 дн
"Определение мутации в 12 экзоне гена Jak-2 киназы, кач.",5380.00,20.0.D4,11 дн
"Антитела к антигенам эритроцитов, суммарные (в т.ч. к Rh-фактору, кроме АТ по системе AB0) с определением титра",1080.00,2.0.A4.202,11 дн
Определение Kell антигена (K),1215.00,2.0.A5.202,11 дн
Прямая проба Кумбса,1385.00,2.0.A8,3 дн
Антитела по системе AB0,1810.00,2.0.D1.201,7 дн
"Определение наличия антигенов эритроцитов C, c, E, e, K",1155.00,2.0.D2.202,3 дн
Группа крови + Резус-фактор,840.00,2.0.D3.202,1 дн
"Кардио-панель Genetico, без выдачи сырых данных",49190.00,22.11.A1,52 дн
"Комплексная генодиагностика недостаточности протеина С, протеина S и антитромбина III при тромбофилии (частые полиморфизмы в генах PROC, PROS1, SERPINC1)",10975.00,22.11.A2,11 дн
"Скрининг на наследственные заболевания при планировании беременности (гетерозиготное носительство у родителей мутаций в генах GJB2, SMN1, PAH, CFTR)",6135.00,22.13.A1,11 дн
"NGS-панель Болезни обмена веществ Genetico, без выдачи сырых данных",49190.00,22.14.A1,52 дн
Генодиагностика острой перемежающейся порфирии (ген HMBS),11980.00,22.14.D1,11 дн
Генодиагностика врожденного ангионевротического отека (ген SERPING1),29195.00,22.17.A1,11 дн
Генодиагностика бокового амиотрофического склероза (NGS исследование гена SOD1),8580.00,22.17.A2,11 дн
Генодиагностика мышечной дистрофии Дюшенна и Беккера (делеции/дупликации экзонов 1-79 в гене DMD),8705.00,22.17.A3,11 дн
Генодиагностика болезни Шарко‑Мари‑Тута 1А и наследственной нейропатии с подверженностью параличу от сдавления (ген РМР22),18525.00,22.17.A4,11 дн
"Генодиагностика болезни Паркинсона (количество копий генов PARK и ATP13A2, мутации в генах SNCA и LRRK2)",10220.00,22.17.D1,11 дн
"Генодиагностика 1, 2А, 2В, 2М, 2N, 3 типов болезни фон Виллебранда (18-21 и 28 экзоны гена VWF)",9355.00,22.19.A1,11 дн
Генодиагностика тромботической тромбоцитопенической пурпуры (ген ADAMTS13) ,10465.00,22.19.A2,11 дн
Генетический тест на лактозную непереносимость: MCM6: -13910 T>C ,1740.00,22.1.A1.202,11 дн
Антиген системы гистосовместимости HLA B51,3225.00,22.1.A143,11 дн
Диагностика синдрома Жильбера,4010.00,22.1.A16.202,11 дн
Синдром ломкой Х хромосомы (определение числа повторов CGG в гене FMR1),6695.00,22.1.A20,11 дн
"Диагностика семейной средиземноморской лихорадки (периодическая болезнь, ген MEFV)",10310.00,22.1.A21,11 дн
"Ген андрогенового рецептора (AR), число CAG-повторов",4765.00,22.1.A22,11 дн
Генотипирование HLA-Cw6 при псориазе,4220.00,22.1.A25,11 дн
Диагностика при жировой болезни печени (ген PNPLA3),4440.00,22.1.A26,11 дн
Определение мутации в гене протромбина Thr165Met,2130.00,22.1.A27,11 дн
"Скрининг на носительство наследственных заболеваний ""Базовый"" (Геномед)",7367.00,22.1.A29,17 дн
Генетическая диагностика бета-талассемии и гемоглобинопатий (мутации в гене HBB),12130.00,22.1.A33,11 дн
Генетическая диагностика фенилкетонурии (ген PAH),21215.00,22.1.A34,11 дн
Генодиагностика болезни Вильсона-Коновалова (анализ мутаций гена ATP7B),11325.00,22.1.D117,11 дн
Генетический риск развития рака молочной железы и рака яичников,5670.00,22.1.D13.202,11 дн
"Генетическая предрасположенность к гипертонии, 9 показателей",5470.00,22.1.D15.202,11 дн
"Идеальный вес. Диета и фитнес, 5 показателей (венозная кровь; генетические факторы индивидуальных особенностей обмена веществ)",7200.00,22.1.D18,11 дн
"Выбери спорт. Скорость, сила, выносливость (венозная кровь; генетическая предрасположенность к занятиям различными видами спорта)",10500.00,22.1.D19,11 дн
Генетическая предрасположенность к болезни Альцгеймера (венозная кровь; APOE E2/E3/E4),5262.00,22.1.D20,11 дн
Ген рецептора витамина D,1700.00,22.1.D23,11 дн
"Генетическая диагностика спинальной мышечной атрофии (SMN1, SMN2)",5910.00,22.1.D24,11 дн
Генодиагностика врожденной гиперплазии надпочечников (исследование 15 мутаций в гене CYP21A2 с учетом изменения в псевдогене CYP21P),12490.00,22.1.D25,11 дн
"Оценка влияния генов CYP2D6 и CYP2C19 на метаболизм антидепрессантов ингибиторов обратного захвата серотонина/норадреналина – эсциталопрам, циталопрам, сертралин, флювоксамин, пароксетин, венлафаксин (слюна)",8000.00,22.1.D26,11 дн
"Генодиагностика патологии печени (оценка мутаций в генах: HFE, ATP7B, PiZ/S А1АТ и PNPLA3)",8425.00,22.1.D27,11 дн
"Определение мутаций в генах: BRCA1 (11 мутаций), BRCA2 (3 мутации), PALB2 (1 мутация), CHEK2 (4 мутации), NBN (1 мутация), венозная кровь",11330.00,22.1.D28,11 дн
"Комплексная генетическая диагностика синдрома поликистоза яичников (СПКЯ), 6 показателей",8600.00,22.1.D29,11 дн
Генодиагностика болезни Гентингтона (оценка числа CAG-повторов в гене НТТ),5255.00,22.1.D30,11 дн
"Диагностика CFTR-ассоциированных заболеваний: бесплодие, панкреатит, муковисцидоз (38 аберраций гена CFTR)",16210.00,22.1.D31,11 дн
"Расширенная диагностика лактазной недостаточности (МСМ6: 13910 С>T, 13907 С>G, 13915 T>G, 14010 G>С)",3300.00,22.1.D32,11 дн
Генетический риск нарушений системы свертывания,4955.00,22.1.D3.202,11 дн
Генетическая диагностика альфа-талассемии (мутации в гене HBA),12130.00,22.1.D33,11 дн
Генетическая диагностика первичной яичниковой недостаточности (ген FMR1),6695.00,22.1.D34,11 дн
"Генетическая диагностика наследственной формы панкреатита (гены PRSS1, SPINK1)",4335.00,22.1.D35,11 дн
"Расширенная генодиагностика синдрома Жильбера (TA-повторы и замены p.G71R, p.P229Q в гене UGT1A1) ",6750.00,22.1.D36,11 дн
Генетические дефекты ферментов фолатного цикла,4830.00,22.1.D4.202,11 дн
"Генетический риск осложнений беременности и патологии плода, 12 показателей",9720.00,22.1.D5.202,11 дн
Генетически обусловленная чувствительность к варфарину,4415.00,22.2.D1.202,11 дн
Антигены системы гистосовместимости HLA II класс: локус DRB1,3090.00,22.3.A1.202,11 дн
Антигены системы гистосовместимости HLA II класс: локус DQA1,3090.00,22.3.A2.202,11 дн
Антигены системы гистосовместимости HLA II класс: локус DQB1,3090.00,22.3.A3.202,11 дн
Антиген системы гистосовместимости HLA В27,3345.00,22.3.A4.202,11 дн
Комплекс «Генотипирование супружеской пары по антигенам гистосовместимости HLA II класса»,11685.00,22.3.D3.202,11 дн
Типирование HLA DQ2DQ8,7620.00,22.3.D4.202,11 дн
"Антигены системы гистосовместимости HLA II класс, генотипирование (локусы DRB1, DQA1, DQB1)",8325.00,22.3.H1.202,11 дн
Исследование фактора репродуктивности AZF,5655.00,22.4.D1.202,11 дн
"Генетическая диагностика наследственной гиперхолестеринемии (гены LDLR, PCSK9, APOB100)",10765.00,22.4.D3,11 дн
Генетическая диагностика семейной гиперхолестеринемии (6 экзонов гена PCSK9),13360.00,22.4.D4,11 дн
"ХМА пренатальный (амниотическая жидкость/ворсины хориона/пуповинная кровь с ЭДТА; выявление хромосомной патологии: анеуплоидии, делеции, дупликации)",18736.00,22.6.A10,11 дн
Полное секвенирование генома абортуса «Фертус» (ворсины хориона/ткани плода),84209.00,22.6.A12,11 дн
Кариотипирование (количественные и структурные аномалии хромосом) с фотографией хромосом,8760.00,22.6.A1.204,14 дн
ХМА экзонного уровня (венозная кровь),35262.00,22.6.A13,11 дн
Цитогенетическое исследование клеток костного мозга методом FISH (2 зонда).,31770.00,22.6.A14,11 дн
Цитогенетическое исследование клеток костного мозга методом FISH (3 зонда). ,47655.00,22.6.A15,11 дн
Цитогенетическое исследование клеток костного мозга (кариотип),13630.00,22.6.A2.204,11 дн
Кариотип с аберрациями (при воздействии мутагенных факторов и онкогематологических заболеваниях),9065.00,22.6.A3.204,11 дн
Цитогенетическое исследование клеток костного мозга,15885.00,22.6.A4.204,11 дн
"Молекулярное кариотипирование материала абортуса (хромосомный микроматричный анализ, Оптима)",13157.00,22.6.A5,11 дн
"ХМА - стандартный (венозная кровь, ворсины хориона; разрешение от 200000 пар нуклеотидов)",20525.00,22.6.A7,11 дн
"ХМА опухолевой ткани, Онкоскан (опухолевая ткань; разрешение от 300000 пар нуклеотидов)",59999.00,22.6.A9,11 дн
Кариотипирование (количественные и структурные аномалии хромосом),8325.00,22.6.D1,14 дн
Дубликат заключения - Установление родства,385.00,22.7.A10,11 дн
"Установление отцовства - дуэт (25 маркеров), (предполагаемый отец, ребенок)",20350.00,22.7.A1.119,14 дн
"Установление отцовства - трио (25 маркеров), (предполагаемый отец, ребенок, биологическая мать)",22590.00,22.7.A2.119,14 дн
"Установление материнства - дуэт (25 маркеров), (предполагаемая мать, ребенок)",20350.00,22.7.A3.119,14 дн
"Установление материнства - трио (25 маркеров), (предполагаемая мать, ребенок, биологический отец)",22590.00,22.7.A4.119,14 дн
"Универсальный тест на установление родства: дедушка/бабушка - внук/внучка, дядя/тетя - племянник/племянница, родные/сводные братья/сестры (2 участника, до 40 маркеров ДНК или половых хромосом)",18435.00,22.7.A6.119,16 дн
"Дополнительный участник № 1 (расчет вероятности родства, 25 маркеров)",7515.00,22.7.A7.119,16 дн
"Дополнительный участник № 2 (расчет вероятности родства, 25 маркеров)",7515.00,22.7.A8.119,16 дн
"Дополнительный участник № 3 (расчет вероятности родства, 25 маркеров). ",7515.00,22.7.A9.119,16 дн
"Генетическая диагностика наследственной нейросенсорной тугоухости (гены GJB2, GJB3, GJB6, POU3F4, WFS1)",7665.00,22.7.D1,11 дн
"Определение мутаций BRAF, KRAS, NRAS (опухолевая ткань)",11578.00,22.8.A10,11 дн
"Жидкостная биопсия, 57 генов (венозная кровь)",66315.00,22.8.A12,54 дн
"ОнкоКарта, 60 генов (опухолевая ткань)",67367.00,22.8.A13,11 дн
"Определение транслокаций гена ALK, FISH (опухолевая ткань; заключение врача - лабораторного генетика по исследовательскому отчету)",15788.00,22.8.A14,11 дн
"Определение транслокации гена ROS1, FISH (опухолевая ткань; заключение врача - лабораторного генетика по исследовательскому отчету)",15788.00,22.8.A15,11 дн
"Оценка риска рака предстательной железы Проста-Тест 2.0(Экспрессия РСАЗ,выявление химерного гена TMPRSS2-ERG)",6545.00,22.8.A16,11 дн
"Определение статуса микросателлитной нестабильности в опухолевой ткани высокочувствительным методом, Idylla",35640.00,22.8.A17,11 дн
"Определение мутаций гена EGFR в опухолевой ткани высокочувствительным методом, Idylla",35640.00,22.8.A18,11 дн
"Жидкостная биопсия: рак толстой кишки и меланома (венозная кровь; мутации в генах BRAF, KRAS, NRAS)",48420.00,22.8.A2,30 дн
"Определение мутаций гена BRAF в опухолевой ткани высокочувствительным методом, Idylla",29040.00,22.8.A20,11 дн
"Определение мутаций гена KRAS в опухолевой ткани высокочувствительным методом, Idylla",35640.00,22.8.A21,11 дн
"Комплексное генетическое исследование при раке легких, определение мутаций в генах EGFR, KRAS, NRAS, BRAF в опухолевой ткани высокочувствительным методом, Idylla",96000.00,22.8.A22,11 дн
"Комплексное генетическое исследование при колоректальном раке, определение мутаций в генах KRAS, NRAS, BRAF и MSI в опухолевой ткани высокочувствительным методом, Idylla",96000.00,22.8.A23,11 дн
"Определение мутаций в генах NRAS, BRAF в опухолевой ткани высокочувствительным методом, Idylla",42000.00,22.8.A24,11 дн
"Определение мутаций в генах KRAS, NRAS, BRAF в опухолевой ткани высокочувствительным методом, Idylla",66000.00,22.8.A26,11 дн
"Определение мутаций в генах BRCA1, BRCA2, PALB2, ATM, CHEK2 (опухолевая ткань)",23157.00,22.8.A3,30 дн
"Панель ""Женские наследственные опухоли"" (венозная кровь)",21052.00,22.8.A4,54 дн
"Панель ""Наследственный рак молочной железы"" (венозная кровь)",21052.00,22.8.A5,54 дн
"Панель ""Наследственный рак толстой кишки"" (венозная кровь)",21052.00,22.8.A6,54 дн
"ОнкоКарта, 57 генов (опухолевая ткань)",44209.00,22.8.A7,140 дн
"Панель ""Наследственные опухолевые синдромы"" (венозная кровь)",36841.00,22.8.A8,54 дн
Определение мутаций в гене NRAS (опухолевая ткань),8420.00,22.8.A9,11 дн
"Определение мутации в гене BRAF (V600), опухолевая ткань",10350.00,22.8.D1,11 дн
"Определение мутаций в гене EGFR, опухолевая ткань",12900.00,22.8.D2,11 дн
"Определение мутаций в гене KRAS, опухолевая ткань",10350.00,22.8.D3,11 дн
"Определение мутаций в гене EGFR, кровь (жидкостная биопсия)",24841.00,22.8.D4,21 дн
"Определение микросателлитной нестабильности, MSI (опухолевая ткань; заключение врача - лабораторного генетика по исследовательскому отчету)",6315.00,22.8.D5,11 дн
Секвенирование митохондриального генома (венозная кровь),36841.00,22.9.A1,100 дн
"Панель ""Заболевания соединительной ткани"" (венозная кровь)",36841.00,22.9.A11,100 дн
"Панель ""Наследственная тугоухость"" (венозная кровь)",36841.00,22.9.A12,100 дн
"Панель ""Наследственные заболевания глаз"" (венозная кровь)",36841.00,22.9.A13,100 дн
"Панель ""Наследственные заболевания ЖКТ"" (венозная кровь)",36841.00,22.9.A14,100 дн
"Панель ""Наследственные заболевания почек"" (венозная кровь)",36841.00,22.9.A15,100 дн
"Панель ""Наследственные заболевания сердца"" (венозная кровь)",36841.00,22.9.A16,100 дн
"Панель ""Наследственные нарушения обмена веществ"" (венозная кровь)",36841.00,22.9.A17,100 дн
"""Наследственные нарушения репродуктивной системы"" (венозная кровь)",36841.00,22.9.A18,100 дн
"Панель ""Наследственные эпилепсии""  (венозная кровь)",36841.00,22.9.A19,100 дн
Клиническое секвенирование экзома (венозная кровь),42104.00,22.9.A2,100 дн
"Панель ""Нейродегенеративные заболевания"" (венозная кровь)",36841.00,22.9.A20,100 дн
"Панель ""Нервно-мышечные заболевания"" (венозная кровь)",36841.00,22.9.A21,100 дн
"""Первичный иммунодефицит и наследственные анемии"" (венозная кровь)",36841.00,22.9.A22,100 дн
"Панель ""Умственная отсталость и аутизм"" (венозная кровь)",36841.00,22.9.A23,100 дн
"Панель ""Факоматозы и наследственный рак"" (венозная кровь)",36841.00,22.9.A24,100 дн
Первичные данные секвенирования в формате FASTQ (Геномед),3157.00,22.9.A25,9 дн
"Скрининг на носительство наследственных рецессивных заболеваний Carrier Seq, 418 генов, First Genetics",37270.00,22.9.A26,42 дн
"NGS-панель Аутизм Genetico, исследование количества CGG повторов в гене FMR1,  без выдачи сырых данных",53660.00,22.9.A27,52 дн
Полное секвенирование экзома (венозная кровь),43157.00,22.9.A3,100 дн
Первичные данные секвенирования в формате FASTQ (Genetico),20875.00,22.9.A33,17 дн
Полное секвенирование генома GenomeUNI (венозная кровь),99999.00,22.9.A4,140 дн
"Жидкостная биопсия при раке легкого, базовая (венозная кровь; мутации в генах EGFR, KRAS, NRAS, BRAF)",32631.00,22.9.A5,21 дн
"""Рак легких, базовая панель"" (опухолевая ткань; мутации в генах EGFR, KRAS, NRAS, BRAF)",17578.00,22.9.A8,12 дн
"Скрининг на наследственные заболевания, 2500 генов (венозная кровь)",34132.00,22.9.A9,75 дн
"ГастроПанель (Гастрин-17 базовый, Пепсиноген I, Пепсиноген II, Антитела к хеликобактеру, IgG)",5100.00,23.10.D1,8дн
"Водородно-метановый дыхательный тест с лактулозой (СИБР, синдром избыточного бактериального роста в тонкой кишке)",2900.00,23.11.A1,8 дн
"Натрий в крови, спектрометрия (Na)",1055.00,23.1.A1,6 дн
"Бор в крови, спектрометрия (B)",1055.00,23.1.A10,6 дн
"Алюминий в крови, спектрометрия (Al)",1055.00,23.1.A11,6 дн
