Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
"Инсулин человеческий IgE, C73",855.0,17.13.A7,1.0,Прочие анализы,,A09.05.118.207,
"Ципрофлоксацин IgE, C108",855.0,17.13.A12,4.0,Прочие анализы,,A09.05.118.215,
"Ацетилсалициловая кислота (аспирин) IgE, С51",1225.0,17.13.A19,7.0,Прочие анализы,,A09.05.118.221,
"Ибупрофен IgE, C78",1225.0,17.13.A17,7.0,Прочие анализы,,A09.05.118.218,
"Амоксициллин IgE, C204",855.0,17.13.A4,1.0,Прочие анализы,,A09.05.118.208,
"Диклофенак IgE, C79",1225.0,17.13.A16,7.0,Прочие анализы,,A09.05.118.219,
"Кетопрофен IgE, C172",1225.0,17.13.A18,7.0,Прочие анализы,,A09.05.118.220,
"Шерсть IgE, K20",855.0,17.14.A2,1.0,Прочие анализы,,A09.05.118.516,
"Шелк IgE, K74",855.0,17.14.A3,1.0,Прочие анализы,,A09.05.118.517,
"Хлопок IgE, O1",855.0,17.14.A1,1.0,Прочие анализы,,A09.05.118.515,
"Латекс IgE, K82",855.0,17.14.A4,1.0,Прочие анализы,,A09.05.118.514,
"Панель пищевых аллергенов №1 IgE (арахис, миндаль, фундук, кокос, бразильский орех - суммарно)",2525.0,17.16.A19,1.0,Прочие анализы,,B03.002.004.017,
"Панель пищевых аллергенов №2 IgE (треска, тунец, креветки, лосось, мидии - суммарно)",2525.0,17.16.A20,1.0,Прочие анализы,,B03.002.004.018,
"Панель пищевых аллергенов №3 IgE (пшеничная мука, овсяная мука, кукурузная мука, семена кунжута, гречневая мука - суммарно)",2525.0,17.16.A21,1.0,Прочие анализы,,B03.002.004.019,
"Панель пищевых аллергенов №5 IgE (яичный белок, молоко, треска, пшеничная мука, арахис, соевые бобы - суммарно)",2525.0,17.16.A22,1.0,Прочие анализы,,B03.002.004.020,
"Панель пищевых аллергенов №6 IgE (рис, семена кунжута, пшеничная мука, гречневая мука, соевые бобы - суммарно)",2525.0,17.16.A23,1.0,Прочие анализы,,B03.002.004.021,
"Панель пищевых аллергенов №7 IgE (яичный белок, рис, коровье молоко, aрахис, пшеничная мука, соевые бобы - суммарно)",2525.0,17.16.A24,1.0,Прочие анализы,,B03.002.004.022,
"Панель пищевых аллергенов №13 IgE (горох, белая фасоль,морковь, картофель - суммарно)",2525.0,17.16.A25,1.0,Прочие анализы,,B03.002.004.023,
"Панель пищевых аллергенов №15 IgE (апельсин, банан, яблоко, персик - суммарно)",2525.0,17.16.A26,1.0,Прочие анализы,,B03.002.004.024,
"Панель пищевых аллергенов №24 IgE (фундук, креветки, киви, банан - суммарно)",2525.0,17.16.A27,1.0,Прочие анализы,,B03.002.004.025,
"Панель пищевых аллергенов №25 IgE (семена кунжута, пекарские дрожжи, чеснок, сельдерей - суммарно)",2525.0,17.16.A28,1.0,Прочие анализы,,B03.002.004.026,
"Панель пищевых аллергенов №26 IgE (яичный белок, молоко, арахис, горчица - суммарно)",2525.0,17.16.A29,1.0,Прочие анализы,,B03.002.004.027,
"Панель пищевых аллергенов №50 IgE (киви, манго, бананы, ананас - суммарно)",2525.0,17.16.A32,1.0,Прочие анализы,,B03.002.004.028,
"Панель пищевых аллергенов №51 IgE (помидор, картофель, морковь, чеснок, горчица - суммарно)",2525.0,17.16.A33,1.0,Прочие анализы,,B03.002.004.029,
"Панель пищевых аллергенов №73 IgE (свинина, куриное мясо, говядина, баранина - суммарно)",2525.0,17.16.A34,1.0,Прочие анализы,,B03.002.004.030,
"Панель профессиональных аллергенов №1 IgE (перхоть лошади, перхоть коровы, перо гуся, перо курицы - суммарно)",2525.0,17.15.A10,1.0,Прочие анализы,,B03.002.004.031,
"Панель аллергенов животных №1 IgE (эпителий кошки, перхоть лошади, перхоть коровы, перхоть собаки - суммарно)",2525.0,17.15.A6,1.0,Прочие анализы,,B03.002.004.032,
"Панель аллергенов животных №70 IgE (эпителий морской свинки, эпителий кролика, хомяк, крыса, мышь - суммарно)",2525.0,17.15.A7,1.0,Прочие анализы,,B03.002.004.033,
"Панель аллергенов животных/перья птиц №71 IgE (перо гуся, перо курицы, перо утки, перо индюка - суммарно)",2525.0,17.15.A8,1.0,Прочие анализы,,B03.002.004.034,
"Панель аллергенов животных/перья птиц №72 IgE (перо волнистого попугая, перо попугая, перо канарейки - суммарно)",2525.0,17.15.A9,1.0,Прочие анализы,,B03.002.004.035,
"Панель аллергенов деревьев №1 IgE (клен ясенелистный, береза, вяз, дуб, грецкий орех - суммарно)",2525.0,17.19.A32,1.0,Прочие анализы,,B03.002.004.037,
"Панель аллергенов деревьев №2 IgE (клен ясенелистный, тополь, вяз, дуб, пекан-суммарно)",2525.0,17.19.A29,1.0,Прочие анализы,,B03.002.004.038,
"Панель аллергенов деревьев №5 IgE (oльха, лещина обыкновенная, вяз, ива, тополь - суммарно)",2525.0,17.19.A30,1.0,Прочие анализы,,B03.002.004.039,
"Панель аллергенов деревьев №9 IgE (ольха, береза, лещина обыкновенная, дуб, ива - суммарно)",2525.0,17.19.A31,1.0,Прочие анализы,,B03.002.004.040,
"Панель аллергенов трав №1 IgE (ежа сборная, овсяница луговая, рожь многолетняя, тимофеевка, мятлик луговой - суммарно)",2525.0,17.20.A31,1.0,Прочие анализы,,B03.002.004.042,
"Панель аллергенов трав №3 IgE (колосок душистый, рожь многолетняя, тимофеевка, рожь культивированная, бухарник шерстистый - суммарно)",2525.0,17.20.A32,1.0,Прочие анализы,,B03.002.004.043,
"Панель аллергенов сорных растений и цветов №1 IgE (амброзия обыкновенная, полынь обыкновенная, подорожник, марь белая, зольник/cолянка - суммарно)",2525.0,17.20.A33,1.0,Биохимия крови,,B03.002.004.044,
"Панель аллергенов сорных растений и цветов №3 IgE (полынь обыкновенная, подорожник, марь белая, золотарник, крапива двудомная - суммарно)",2525.0,17.20.A34,1.0,Биохимия крови,,B03.002.004.045,
"Панель аллергенов сорных растений и цветов №5 IgE (амброзия обыкновенная, полынь обыкновенная, золотарник, нивяник, одуванчик лекарственный - суммарно)",2525.0,17.20.A35,1.0,Биохимия крови,,B03.002.004.046,
"Панель ингаляционных аллергенов №1 IgE (ежа сборная, тимофеевка, японский кедр, амброзия обыкновенная, полынь обыкновенная - суммарно)",2525.0,17.21.A35,1.0,Прочие анализы,,B03.002.004.047,
"Панель ингаляционных аллергенов №2 IgE (тимофеевка, плесневый гриб (Alternaria tenuis), береза, полынь обыкновенная - суммарно)",2525.0,17.21.A36,1.0,Прочие анализы,,B03.002.004.048,
"Панель ингаляционных аллергенов №3 IgE (клещ - дерматофаг перинный, эпителий кошки, эпителий собаки, плесневый гриб Aspergillus fumigatus - суммарно)",2525.0,17.21.A37,1.0,Серология,,B03.002.004.049,
"Панель ингаляционных аллергенов №6 IgE (плесневый гриб Cladosporium herbarum, тимофеевка, плесневый гриб Alternaria tenuis, береза, полынь обыкновенная - суммарно)",2525.0,17.21.A38,1.0,Прочие анализы,,B03.002.004.050,
"Панель ингаляционных аллергенов №7 IgE (эпителий кошки, клещ-дерматофаг перинный, перхоть лошади, перхоть собаки, эпителий кролика - суммарно)",2525.0,17.21.A39,1.0,Прочие анализы,,B03.002.004.051,
"Панель ингаляционных аллергенов №8 IgE (эпителий кошки, клещ-дерматофаг перинный, береза, перхоть собаки, полынь обыкновенная, тимофеевка, рожь культивированная, плесневый гриб Cladosporum herbarum - суммарно)",2525.0,17.21.A40,1.0,Прочие анализы,,B03.002.004.052,
"Панель ингаляционных аллергенов №9 IgE (эпителий кошки, перхоть собаки, овсяница луговая, плесневый гриб Alternaria tenuis, подорожник - суммарно)",2525.0,17.21.A41,1.0,Прочие анализы,,B03.002.004.053,
"Панель аллергенов плесени №1 IgE (penicillium notatum, cladosporium herbarum, aspergillus fumigatus, candida albicans, alternaria tenuis - суммарно)",2525.0,17.21.A42,1.0,Серология,,B03.002.004.013,
"Панель аллергенов пыли №1 IgE (домашняя пыль Greer, клещ-дерматофаг перинный, клещ-дерматофаг мучной, таракан - суммарно)",2525.0,17.21.A43,1.0,Прочие анализы,,B03.002.004.015,
"Панель аллергенов плесени IgE, TM9 (Penicillium chrysogenum notatum m1, Cladosporium herbarum m2, Aspergillus fumigatus m3, Candida albicans m5, Alternaria tenuis alternata m6, Helminthospor. Halodes m8 - суммарно)",2525.0,17.21.A54,7.0,Серология,,B03.002.004.016,
"Панель клещевых аллергенов №1 IgE (клещ-дерматофаг перинный, мучной, dermatophagoides microceras, lepidoglyphus destructor, tyrophagus putrescentiae, glycyphagus domesticus, euroglyphus maynei, blomia tropicalis - сумм.)",2525.0,17.21.A44,1.0,Прочие анализы,,B03.002.004.014,
IgG4 к пищевым аллергенам (пищевая непереносимость - 88 аллергенов/микстов),24400.0,17.17.D1,3.0,Серология,,B03.002.004.054,
"IgG к пищевым аллергенам (пищевая непереносимость - 15 аллергенов), ИФА",4700.0,17.17.D3,3.0,Серология,,B03.002.004.124,
"FOX (Food Xplorer) IgG, 287 антигенов (пищевая непереносимость)",25700.0,17.17.A10,3.0,Серология,,B03.002.004.117,
"Панель аллергенов животных, эпителий IgE ImmunoCAP, ex1 (микст перхоть: кошки, собаки, лошади, коровы - суммарно)",1665.0,17.27.A44,11.0,Прочие анализы,,B03.002.004.086,
"Панель аллергенов животных IgE ImmunoCAP, ex2 (микст: перхоть кошки, перхоть собаки, эпителий морской свинки, крыса, мышь - суммарно)",1665.0,17.27.A51,11.0,Прочие анализы,,B03.002.004.087,
"Панель аллергенов животных IgE ImmunoCAP, ex71 (микст перья птиц: гуся, курицы, утки, индейки - суммарно)",1665.0,17.27.A3,11.0,Прочие анализы,,B03.002.004.088,
"Панель аллергенов животных IgE ImmunoCAP, ex70 (эпителий морской свинки e6, эпителий кролика e82, эпителий хомяка e84, крысы e87, мышь e88 - суммарно)",1665.0,17.27.A56,11.0,Прочие анализы,,B03.002.004.084,
"Панель аллергенов животных IgE ImmunoCAP, ex72 (перья птиц: волнистого попугайчика e78, канарейки e201, длиннохвостого попугайчика e196, попугая e213, вьюрка e214 - суммарно)",1665.0,17.27.A57,11.0,Прочие анализы,,B03.002.004.085,
"Панель аллергенов деревьев IgE ImmunoCAP, tx9 (микст пыльца деревьев: ольха серая, береза бородавчатая, лещина обыкновенная, дуб белый, ива белая - суммарно)",1665.0,17.27.A45,11.0,Прочие анализы,,B03.002.004.089,
"Панель аллергенов к смеси пыльцы деревьев IgE ImmunoCAP, tx5 (ольха серая t2, лещина t4, вяз t8, ива t12, тополь t14 - суммарно)",1665.0,17.27.A58,11.0,Прочие анализы,,B03.002.004.090,
"Панель аллергенов к смеси пыльцы деревьев IgE ImmunoCAP, tx6 (клен ясенелистный t1, береза бородавчатая t3, бук крупнолистный t5, дуб t7, грецкий орех t10 - суммарно)",1665.0,17.27.A59,11.0,Прочие анализы,,B03.002.004.091,
"Панель аллергенов злаковых трав IgE ImmunoCAP, gx1 (микст пыльца злаковых: ежа сборная, овсяница луговая, плевел, тимофеевка луговая, мятлик луговой - суммарно)",1665.0,17.27.A46,11.0,Прочие анализы,,B03.002.004.092,
"Панель аллергенов сорных трав IgE ImmunoCAP, wx3 (полынь w6, подорожник ланцетовидный w9,  марь w10, золотарник w12, крапива двудомная w20 - суммарно)",1665.0,17.27.A52,11.0,Прочие анализы,,B03.002.004.094,
"Панель аллергенов амброзии IgE ImmunoCAP, wx209 (Амброзия высокая w1, Амброзия голометельчатая w2, Амброзия трехраздельная w3 - суммарно)",1665.0,17.27.A71,9.0,Прочие анализы,,B03.002.004.161,
"Панель аллергенов сорных трав IgE ImmunoCAP, wx1 (амброзия высокая w1, полынь w6, подорожник ланцетолистный w9, марь белая w10, зольник/cолянка w11 - суммарно)",1665.0,17.27.A54,11.0,Прочие анализы,,B03.002.004.074,
"Панель аллергенов сорных трав IgE ImmunoCAP, wx2 (амброзия голометельчатая w2, полынь w6, подорожник ланцетовидный w9, марь w10, лебеда чечевицевидная w15 - суммарно)",1665.0,17.27.A68,11.0,Прочие анализы,,B03.002.004.093,
"Панель аллергенов детской смеси IgE ImmunoCAP, fx5 (белок яйца f1, молоко f2, рыба f3, пшеница f4, арахис f13, соя f14 - суммарно)",1665.0,17.27.A55,11.0,Прочие анализы,,B03.002.004.098,
"Панель аллергенов морепродукты IgE ImmunoCAP, fx2 (рыба f3, креветки f24, голубая мидия f37, тунец f40, лосось f41 - суммарно)",1665.0,17.27.A60,11.0,Прочие анализы,,B03.002.004.097,
"Панель аллергенов мука злаковых и кунжутные IgE ImmunoCAP, fx3 (пшеница f4, овёс f7, кукуруза f8, кунжут f10, гречиха f11 - суммарно)",1665.0,17.27.A61,11.0,Прочие анализы,,B03.002.004.099,
"Панель аллергенов мука злаковых IgE ImmunoCAP, fx20 (пшеница f4, рожь f5, ячмень f6, рис f9 - суммарно)",1665.0,17.27.A62,11.0,Прочие анализы,,B03.002.004.100,
"Панель аллергенов мясо IgE ImmunoCAP, fx73 (свинина f26, говядина f27, курятина f83 - суммарно)",1665.0,17.27.A63,11.0,Прочие анализы,,B03.002.004.101,
"Панель аллергенов овощи и бобовые IgE ImmunoCAP, fx13 (горох f12, фасоль f15, морковь f31, картофель f35 - суммарно)",1665.0,17.27.A64,11.0,Прочие анализы,,B03.002.004.102,
"Панель аллергенов овощи IgE ImmunoCAP, fx14 (помидор f25, шпинат f214, капуста f216, паприка f218 - суммарно)",1665.0,17.27.A65,11.0,Прочие анализы,,B03.002.004.103,
"Панель аллергенов орехи IgE ImmunoCAP, fx1 (арахис f13, фундук f17, бразильский орех f18, миндаль f20, кокос f36 - суммарно)",1665.0,17.27.A66,11.0,Прочие анализы,,B03.002.004.104,
"Панель аллергенов рыба IgE ImmunoCAP, fx74 (треска f3, сельдь f205, скумбрия f206, камбала f254 - суммарно)",1665.0,17.27.A67,11.0,Прочие анализы,,B03.002.004.105,
"Панель аллергенов фрукты и бахчевые IgE ImmunoCAP, fx21  (киви f84, дыня f87, банан f92, персик f95,  ананас f210 - суммарно)",1665.0,17.27.A69,11.0,Прочие анализы,,B03.002.004.095,
"Панель аллергенов цитрусовые и фрукты IgE ImmunoCAP, fx15  (апельсин f33, яблоко f49, банан f92,  персик f95 - суммарно)",1665.0,17.27.A70,11.0,Прочие анализы,,B03.002.004.096,
"Панель бытовых аллергенов IgE ImmunoCAP, hx2 (микст: домашняя пыль, клещ домашней пыли D.pteronyssinus, клещ домашней пыли D. farinae, таракан рыжий - суммарно)",1665.0,17.27.A47,11.0,Прочие анализы,,B03.002.004.077,
"Панель аллергенов плесени IgE ImmunoCAP, mx1 (микст: Penicillium chrysogenum,  Cladosporium herbarum, Aspergillus fumigatus,  Alternaria alternata - суммарно)",1665.0,17.27.A50,11.0,Серология,,B03.002.004.107,
"Панель аллергенов плесени IgE ImmunoCAP, mx2 (Penicillium chrysogenum m1, Cladosporium herbarum m2, Aspergillus fumigatus m3, Alternaria alternata m6, Setomelanomma rostrata m8 - суммарно)",1665.0,17.27.A53,11.0,Серология,,B03.002.004.108,
Фадиатоп детский (сбалансированная смесь ингаляционных и пищевых аллергенов для скрининга атопии для детей до 4 лет),3100.0,17.30.A43,11.0,Прочие анализы,,B03.002.004.072,
Фадиатоп (сбалансированная смесь ингаляционных аллергенов для скрининга атопии для детей старше 4 лет и взрослых),3710.0,17.30.A44,11.0,Прочие анализы,,B03.002.004.070,
"Аллергокомплекс при астме/рините взрослые 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; дополнительные ингаляционные: амброзия, плесневый гриб)",8705.0,17.29.H9,9.0,Биохимия крови,,B03.002.004.081,
"Аллергокомплекс при астме/рините дети 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; основные пищевые: яичный белок, молоко)",8705.0,17.29.H10,9.0,Биохимия крови,,B03.002.004.082,
"Аллергокомплекс при экземе 3 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1; основные пищевые: яичный белок, молоко, треска, пшеница, соя; дополнительные пищевые: арахис, креветка)",8705.0,17.29.H11,9.0,Прочие анализы,,B03.002.004.083,
"Аллергокомплекс предоперационный IgE (ImmunoCap) (Триптаза, Желатин коровий с74, Латекс k82, Хлоргексидин с8)",6010.0,17.29.A49,11.0,Прочие анализы,,B03.002.004.079,
"Аллергочип, ImmunoCAP ISAC E112i",35390.0,17.29.A48,18.0,Прочие анализы,,B03.002.004.075,
"Аллергочип, ALEX2, 300 компонентов (включает определение общего IgE)",24190.0,17.35.A17,3.0,Прочие анализы,,B03.002.004.123,
"Аллергокомплекс пищевой PROTIA (Корея), IgE",5930.0,17.35.A18,4.0,Прочие анализы,,B03.002.004.006,
"Аллергокомплекс при атопии у детей и взрослых PROTIA (Корея), IgE",5885.0,17.35.A19,4.0,Прочие анализы,,B03.002.004.010,
"Аллергокомплекс расширенный PROTIA (Корея), IgE",8035.0,17.35.A20,4.0,Прочие анализы,,B03.002.004.011,
"Аллергокомплекс респираторный PROTIA (Корея), IgE",5930.0,17.35.A21,4.0,Прочие анализы,,B03.002.004.012,
"Панель пищевых аллергенов №51 IgG (помидор, картофель, морковь, чеснок, горчица - суммарно)",2525.0,17.31.A13,1.0,Серология,,B03.002.004.068,
"Панель пищевых аллергенов №73 IgG (свинина, куриное мясо, говядина, баранина - суммарно)",2525.0,17.31.A14,1.0,Серология,,B03.002.004.069,
"Панель пищевых аллергенов №1 IgG (арахис, миндаль, фундук, кокос, бразильский орех - суммарно)",2525.0,17.31.A1,1.0,Серология,,B03.002.004.056,
"Панель пищевых аллергенов №2 IgG (треска, тунец, креветки, лосось, мидии - суммарно)",2525.0,17.31.A2,1.0,Серология,,B03.002.004.057,
"Панель пищевых аллергенов №3 IgG (пшеничная мука, овсяная мука, кукурузная мука, семена кунжута, гречневая мука - суммарно)",2525.0,17.31.A3,1.0,Серология,,B03.002.004.058,
"Панель пищевых аллергенов №5 IgG (яичный белок, молоко, треска, пшеничная мука, арахис, соевые бобы - суммарно)",2525.0,17.31.A4,1.0,Серология,,B03.002.004.059,
"Панель пищевых аллергенов №6 IgG (рис, семена кунжута, пшеничная мука, гречневая мука, соевые бобы - суммарно)",2525.0,17.31.A5,1.0,Серология,,B03.002.004.060,
"Панель пищевых аллергенов №7 IgG (яичный белок, рис, коровье молоко, aрахис, пшеничная мука, соевые бобы - суммарно)",2525.0,17.31.A6,1.0,Серология,,B03.002.004.061,
"Панель пищевых аллергенов №13 IgG (зеленый горошек, белые бобы, морковь, картофель - суммарно)",2525.0,17.31.A7,1.0,Серология,,B03.002.004.062,
"Панель пищевых аллергенов №15 IgG (апельсин, банан, яблоко, персик - суммарно)",2525.0,17.31.A8,1.0,Серология,,B03.002.004.063,
"Панель пищевых аллергенов №24 IgG (фундук, креветки, киви, банан - суммарно)",2525.0,17.31.A9,1.0,Серология,,B03.002.004.064,
"Панель пищевых аллергенов №25 IgG (семена кунжута, пекарские дрожжи, чеснок, сельдерей - суммарно)",2525.0,17.31.A10,1.0,Серология,,B03.002.004.065,
"Панель пищевых аллергенов №26 IgG (яичный белок, молоко, арахис,горчица - суммарно)",2525.0,17.31.A11,1.0,Серология,,B03.002.004.066,
"Панель пищевых аллергенов №50 IgG (киви, манго, бананы, ананас - суммарно)",2525.0,17.31.A12,1.0,Серология,,B03.002.004.067,
"Аллергокомплекс смешанный №1, IgE, ИФА: клещ d1/d2, ольха, береза, лещина, см.трав, рожь, полынь, подорожник, кошка, лошадь, собака, A.alternata, яич.белок, молоко, арахис, лес.орех, морковь, пшенич.мука, соя",6620.0,17.35.D11,7.0,Прочие анализы,,B03.002.004.003,
"Аллергокомплекс респираторный №2,IgE, ИФА: клещ d1/d2, ольха, береза, лещина, дуб, см.трав, рожь, полынь, подорожник, кошка, лошадь, собака, мор.свинка, хомяк, кролик, Penic.notat., Cl.herbar., Asр.fumigat.,  A.alternata",6620.0,17.35.D12,7.0,Серология,,B03.002.004.009,
"Аллергокомплекс пищевой 3, IgE, ИФА: фундук, арахис, грец.орех, минд.орех, молоко, яич.белок/желток, казеин, картофель, сельдерей, морковь, томаты, треска, краб, апельсин, яблоко, пшенич.мука, рж.мука, кунжут, соя",6620.0,17.35.D13,7.0,Прочие анализы,,B03.002.004.005,
"Аллергокомплекс педиатрический 4, IgE, ИФА: клещ d1/d2, береза, см.трав, кошка, собака, A.alternata, молоко, а-лактальб., b-лактоглоб., казеин, яич.белок/желток, БСА, соя, морковь, картофель, пшенич.мука, фундук, арахис",6620.0,17.35.D14,7.0,Прочие анализы,,B03.002.004.004,
"Местные анестетики № 1 Артикаин/Скандонест, IgE",1655.0,17.35.D9,4.0,Прочие анализы,,B03.002.004.007,
"Местные анестетики № 2 Новокаин/Лидокаин, IgE",1655.0,17.35.D10,4.0,Прочие анализы,,B03.002.004.008,
"Тропомиозин креветок, аллергокомпонент IgE (ImmunoCAP), f351 rPen a1",2755.0,17.36.A15,9.0,Прочие анализы,,A09.05.118.497,
"Арахис, аллергокомпонент IgE (ImmunoCAP), f352 rAra h8",2755.0,17.36.A8,9.0,Прочие анализы,,A09.05.118.492,
"Арахис, аллергокомпонент IgE (ImmunoCAP), f422 rAra h1",2755.0,17.36.A9,9.0,Прочие анализы,,A09.05.118.489,
"Грецкий орех, аллергокомпонент IgE (ImmunoCAP), f441 rJug r1",2755.0,17.36.A18,9.0,Прочие анализы,,A09.05.118.519,
"Грецкий орех, аллергокомпонент IgE (ImmunoCAP), f442 rJug r3",2755.0,17.36.A19,9.0,Прочие анализы,,A09.05.118.520,
"Кешью, аллергокомпонент IgE (ImmunoCAP), f443 rAna o3",2755.0,17.36.A20,9.0,Прочие анализы,,A09.05.118.521,
"Персик, аллергокомпонент IgE (ImmunoCAP), f420 rPru p3",2755.0,17.36.A21,9.0,Прочие анализы,,A09.05.118.522,
"Яблоко, аллергокомпонент IgE (ImmunoCAP), f435 rMal d3",2755.0,17.36.A22,9.0,Прочие анализы,,A09.05.118.523,
"Арахис, аллергокомпонент IgE (ImmunoCAP), f447 rAra h6",2755.0,17.36.D16,9.0,Прочие анализы,,A09.05.118.524,
"Галактоза-альфа-1,3-галактоза (α-Gal), аллергокомпонент IgE (ImmunoCAP), O215",2755.0,17.64.D138,9.0,Прочие анализы,,A09.05.118.525,
"Бычий сывороточный альбумин, аллергокомпонент IgE (ImmunoCAP), e204 nBos d6 (BSA)",2755.0,17.37.A2,9.0,Прочие анализы,,A09.05.118.485,
"Альфа-лактальбумин, аллергокомпонент IgE (ImmunoCAP), f76 nBos d4",2755.0,17.36.A4,9.0,Прочие анализы,,A09.05.118.482,
"Бета-лактоглобулин, аллергокомпонент IgE (ImmunoCAP),  f77 nBos d5",2755.0,17.36.A5,9.0,Прочие анализы,,A09.05.118.483,
"Казеин, коровье молоко, аллергокомпонент IgE (ImmunoCAP), f78 nBos d8",2755.0,17.36.A2,9.0,Прочие анализы,,A09.05.118.484,
"Овальбумин яйца, аллергокомпонент IgE (ImmunoCAP), f232 nGal d2",2755.0,17.36.A6,9.0,Прочие анализы,,A09.05.118.486,
"Овомукоид яйца, аллергокомпонент IgE (ImmunoCAP), f233 nGal d1",2755.0,17.36.A1,9.0,Прочие анализы,,A09.05.118.487,
"Лизоцим яйца, аллергокомпонент  IgE (ImmunoCAP), k208 nGal d4",2755.0,17.36.A3,9.0,Прочие анализы,,A09.05.118.488,
"Кональбумин яйца, аллергокомпонент IgE (ImmunoCAP), f323 nGal d3",2755.0,17.68.A1,9.0,Прочие анализы,,A09.05.118.498,
"Соя (G. max), аллергокомпонент IgE (ImmunoCAP), f353 rGly m4PR-10",2755.0,17.36.A7,9.0,Прочие анализы,,A09.05.118.496,
"Арахис, аллергокомпонент IgE (ImmunoCAP), f423 rAra h2",2755.0,17.36.A10,9.0,Прочие анализы,,A09.05.118.490,
"Арахис, аллергокомпонент IgE (ImmunoCAP), f424 rAra h3",2755.0,17.36.A11,9.0,Прочие анализы,,A09.05.118.491,
"Арахис, аллергокомпонент IgE (ImmunoCAP), f427 rAra h9",2755.0,17.36.A12,9.0,Прочие анализы,,A09.05.118.493,
"Карп, аллергокомпонент IgE (ImmunoCAP), f355 rCyp c1",2755.0,17.36.A13,9.0,Прочие анализы,,A09.05.118.494,
"Треска атлантическая, аллергокомпонент IgE (ImmunoCAP), f426 rGad c1",2755.0,17.36.A17,9.0,Прочие анализы,,A09.05.118.499,
"Омега-5 Глиадин пшеницы, аллергокомпонент IgE (ImmunoCAP), f416 rTri a19",2755.0,17.36.A14,9.0,Прочие анализы,,A09.05.118.495,
"Кошка, аллергокомпонент IgE (ImmunoCAP), e94 rFel d1",2755.0,17.37.A1,9.0,Прочие анализы,,A09.05.118.502,
"Кошка, аллергокомпонент IgE (ImmunoCAP), e220 (rFel d2)",2755.0,17.23.A32,9.0,Прочие анализы,,A09.05.118.503,
"Собака, аллергокомпонент IgE (ImmunoCAP), e101 rCan f1",2755.0,17.37.A3,9.0,Прочие анализы,,A09.05.118.500,
"Собака, аллергокомпонент IgE (ImmunoCAP), e102 rCan f2",2755.0,17.37.A4,9.0,Прочие анализы,,A09.05.118.501,
"Собака, аллергокомпонент IgE (ImmunoCAP), e221 nCan f3",2755.0,17.37.A5,9.0,Прочие анализы,,A09.05.118.504,
"Береза, аллергокомпонент IgE (ImmunoCAP), t215 rBet v1 PR-10",2755.0,17.38.A1,9.0,Прочие анализы,,A09.05.118.505,
"Береза, аллергокомпонент IgE (ImmunoCAP), t221 rBet v2, rBet v4",2755.0,17.38.A2,9.0,Прочие анализы,,A09.05.118.506,
"Амброзия, аллергокомпонент IgE (ImmunoCAP), w230 nAmb a1",2755.0,17.39.A1,9.0,Прочие анализы,,A09.05.118.508,
"Полынь, аллергокомпонент IgE (ImmunoCAP), w231 nArt v1",2755.0,17.39.A4,9.0,Прочие анализы,,A09.05.118.509,
"Тимофеевка луговая, аллергокомпонент IgE (ImmunoCAP), g213 rPhl p1, rPhl p5b",2755.0,17.39.A2,9.0,Прочие анализы,,A09.05.118.511,
"Тимофеевка луговая, аллергокомпонент IgE (ImmunoCAP), g214 rPhl p7, rPhl p12",2755.0,17.39.A3,9.0,Прочие анализы,,A09.05.118.507,
"Полынь, аллергокомпонент IgE (ImmunoCAP), w233 nArt v3",2755.0,17.39.A5,9.0,Прочие анализы,,A09.05.118.510,
"Тимофеевка луговая, аллергокомпонент IgE (ImmunoCAP), g208 rPhl p4",2755.0,17.39.A6,9.0,Прочие анализы,,A09.05.118.512,
"Alternaria alternata, аллергокомпонент IgE (ImmunoCAP), m229 rAlt a1",2755.0,17.71.A1,9.0,Прочие анализы,,A09.05.118.513,
"Тропомиозин клещей домашней пыли, аллергокомпонент IgE (ImmunoCAP), d205 rDer p10",2755.0,17.70.A1,9.0,Прочие анализы,,A09.05.118.559,
"Яд осы обыкновенной, аллергокомпонент IgE (ImmunoCAP), i209 rVes v5",2755.0,17.86.A1,9.0,Прочие анализы,,A09.05.118.561,
"Фосфолипаза А2 пчелы медоносной, аллергокомпонент IgE (ImmunoCAP), i208 rApi m1",2755.0,17.86.A2,9.0,Прочие анализы,,A09.05.118.560,
"Латекс, аллергокомпонент IgE (ImmunoCAP), k220 rHev b6.02",2755.0,17.72.A10,9.0,Прочие анализы,,A09.05.118.562,
"Апельсин IgG, F33",855.0,17.50.A105,1.0,Серология,,A09.05.118.230,
"Клубника IgG, F44",855.0,17.50.A114,1.0,Серология,,A09.05.118.239,
"Финики IgG, F289",855.0,17.57.A123,1.0,Серология,,A09.05.118.248,
"Абрикос IgG, F237",855.0,17.50.A102,1.0,Серология,,A09.05.118.227,
"Авокадо IgG, F96",855.0,17.50.A103,1.0,Серология,,A09.05.118.228,
